nombre,temporada,club,entrenador,edad,posicion_normalizada,tipo_suceso,tipo_operacion,origen_desarrollo,partidos,minutos,goles,xg,goles_por_90,xg_por_90,valor_mercado,valor_llegada,valor_salida,revalorizacion_absoluta,revalorizacion_porcentual,revalorizacion_positiva,tiene_wyscout,club_pos_jugadores_sub23,club_pos_minutos_sub23,club_pos_goles_sub23,club_pos_xg_sub23,club_pos_pct_minutos,club_total_jugadores_sub23,club_total_minutos_sub23,club_total_goles_sub23,coach_total_jugadores_sub23,coach_total_minutos_sub23,coach_pos_minutos_sub23,demand_total_altas,demand_cesiones,demand_traspasos,demand_sub23,demand_recent,demand_score
Borja Garcés,2021-22,CD Leganés,Asier Garitano,22.0,Delantero,cesion,cesion,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,2700000.0,2700000.0,2600000.0,-100000.0,-3.7,0,False,2.0,5456.0,25.0,25.33,21.84,10.0,24980.0,35.0,2.0,2312.0,0.0,12,7,0,4,2,71.6
Bruno González,2021-22,CD Leganés,Asier Garitano,31.0,Central,libre,libre,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0,False,4.0,11583.0,0.0,4.77,46.37,10.0,24980.0,35.0,2.0,2312.0,0.0,13,3,2,4,5,78.22
Cheick Doukouré,2021-22,CD Leganés,Asier Garitano,28.0,Centrocampista,libre,libre,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,600000.0,600000.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,10.0,24980.0,35.0,2.0,2312.0,875.0,14,1,2,4,4,66.21
Dani Jiménez,2021-22,CD Leganés,Asier Garitano,31.0,Portero,otro,otro,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,10.0,24980.0,35.0,2.0,2312.0,0.0,5,1,0,0,1,29.28
Fede Vico,2021-22,CD Leganés,Asier Garitano,27.0,Mediapunta,libre,libre,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,1200000.0,2000000.0,800000.0,66.67,1,False,0.0,0.0,0.0,0.0,0.0,10.0,24980.0,35.0,2.0,2312.0,0.0,5,0,0,1,2,32.64
Iván Villar,2021-22,CD Leganés,Asier Garitano,24.0,Portero,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,2500000.0,1200000.0,-1300000.0,-52.0,0,False,0.0,0.0,0.0,0.0,0.0,10.0,24980.0,35.0,2.0,2312.0,0.0,5,1,0,0,1,29.28
Jimmy Giraudon,2021-22,CD Leganés,Asier Garitano,30.0,Central,cesion,cesion,Extranjero,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,1500000.0,1500000.0,0.0,0.0,0,False,4.0,11583.0,0.0,4.77,46.37,10.0,24980.0,35.0,2.0,2312.0,0.0,13,3,2,4,5,78.22
Jon Bautista,2021-22,CD Leganés,Asier Garitano,26.0,Delantero,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,1200000.0,1000000.0,-200000.0,-16.67,0,False,2.0,5456.0,25.0,25.33,21.84,10.0,24980.0,35.0,2.0,2312.0,0.0,12,7,0,4,2,71.6
Lazar Randjelovic,2021-22,CD Leganés,Asier Garitano,24.0,Extremo,cesion,cesion,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,2500000.0,500000.0,25.0,1,False,2.0,3563.0,7.0,4.18,14.26,10.0,24980.0,35.0,2.0,2312.0,1403.0,8,6,1,5,1,62.4
Naim García,2021-22,CD Leganés,Asier Garitano,19.0,Mediapunta,sub23_wyscout,otro,Otra categoria España,24.0,875.0,1.0,1.31,0.1,0.13,500000.0,,500000.0,,,0,True,0.0,0.0,0.0,0.0,0.0,10.0,24980.0,35.0,2.0,2312.0,0.0,5,0,0,1,2,32.64
