jugador,temporada,club,entrenador,edad,posicion,tipo_operacion,tipo_suceso,minutos,goles,xg,valor_mercado,revalorizacion_porcentual,revalorizacion_absoluta,comp_desarrollo,comp_mercado,comp_rendimiento,comp_progresion,dimensiones_usadas,operation_success_score
Sergio González,2021-22,CD Tenerife,Luis Miguel Ramis,24.0,Central,libre,libre,0.0,0.0,0.0,500000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Víctor Mollejo,2021-22,CD Tenerife,Luis Miguel Ramis,20.0,Extremo,cesion,cesion,0.0,0.0,0.0,3000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Àlex Corredera,2021-22,CD Tenerife,Luis Miguel Ramis,25.0,Centrocampista,libre,libre,0.0,0.0,0.0,600000.0,66.67,400000.0,,0.58335,,0.75001,mercado+progresion,64.58
Arturo Molina,2021-22,CF Fuenlabrada,,25.0,Mediapunta,libre,libre,0.0,0.0,0.0,300000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Cheick Timite,2021-22,CF Fuenlabrada,,23.0,Extremo,libre,libre,0.0,0.0,0.0,1000000.0,-30.0,-300000.0,,0.1,,0.0,mercado+progresion,6.25
Franco Soldano,2021-22,CF Fuenlabrada,,26.0,Delantero,cesion,cesion,0.0,0.0,0.0,1400000.0,-50.0,-700000.0,,0.0,,0.0,mercado+progresion,0.0
Nuno Pina,2021-22,CF Fuenlabrada,,22.0,Centrocampista,libre,libre,0.0,0.0,0.0,400000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Stéphane Mbia,2021-22,CF Fuenlabrada,,35.0,Centrocampista,libre,libre,0.0,0.0,0.0,200000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Alberto De La Bella,2021-22,FC Cartagena,Luis Carrión,35.0,Lateral,libre,libre,0.0,0.0,0.0,100000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Alfredo Ortuño,2021-22,FC Cartagena,Luis Carrión,30.0,Delantero,libre,libre,1275.0,6.0,7.59,500000.0,,,0.4722222222222222,,0.904,,desarrollo+rendimiento,61.61
Andy Kawaya,2021-22,FC Cartagena,Luis Carrión,24.0,Extremo,libre,libre,0.0,0.0,0.0,250000.0,-20.0,-50000.0,,0.15,,0.0,mercado+progresion,9.38
Antonio Luna,2021-22,FC Cartagena,Luis Carrión,30.0,Lateral,libre,libre,0.0,0.0,0.0,900000.0,-55.56,-500000.0,,0.0,,0.0,mercado+progresion,0.0
Gastón Silva,2021-22,FC Cartagena,Luis Carrión,27.0,Central,libre,libre,0.0,0.0,0.0,1200000.0,-58.33,-700000.0,,0.0,,0.0,mercado+progresion,0.0
Julio Buffarini,2021-22,FC Cartagena,Luis Carrión,33.0,Lateral,cesion,cesion,0.0,0.0,0.0,1000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
