club,posicion,jugadores_sub23,minutos_sub23,partidos_sub23,titularidades_sub23,goles_sub23,xg_sub23,valor_medio,revalorizacion_media,entrenador_principal,temporadas_analizadas,pct_minutos_sub23_club
CD Leganés,Mediocentro,3,1670.0,48.0,,1.0,2.89,283333.33,,Asier Garitano,2,6.69
Deportivo Alavés,Mediocentro,2,1525.0,20.0,,0.0,0.26,7500000.0,,Luis García Plaza,2,21.93
Girona FC,Mediocentro,3,1399.0,32.0,,0.0,1.77,15000000.0,,Michel,2,6.92
Real Zaragoza,Mediocentro,5,1245.0,31.0,,0.0,0.71,,,Víctor Fernández,3,11.18
Elche CF,Mediocentro,1,1181.0,16.0,,3.0,1.85,2000000.0,,,1,18.35
Levante UD,Mediocentro,1,176.0,7.0,,2.0,0.54,,,Julián Calero,1,1.29
CD Tenerife,Mediocentro,3,69.0,4.0,,0.0,0.34,,,Luis Miguel Ramis,2,3.25
AD Alcorcón,Mediocentro,2,45.0,3.0,,0.0,0.0,,,,2,100.0
SD Ponferradina,Mediocentro,1,19.0,2.0,,0.0,0.0,,,Jon Pérez Bolo,1,41.3
FC Cartagena,Mediocentro,1,16.0,1.0,,0.0,0.0,,,Luis Carrión,1,3.22
UD Ibiza,Mediocentro,1,8.0,1.0,,0.0,0.0,,,,1,0.84
Levante UD,Portero,1,6015.0,61.0,,0.0,0.0,800000.0,,Julián Calero,2,44.02
FC Andorra,Portero,2,4106.0,42.0,,0.0,0.0,300000.0,,,1,15.84
Cádiz CF,Portero,1,3571.0,36.0,,0.0,0.0,100000.0,,Pako Ayestarán,2,11.5
Córdoba CF,Portero,1,3329.0,34.0,,0.0,0.0,800000.0,,,1,21.17
Real Valladolid CF,Portero,1,2576.0,27.0,,0.0,0.09,600000.0,,Paulo Pezzolano,3,11.67
Granada CF,Portero,1,1423.0,15.0,,0.0,0.0,800000.0,,,1,5.23
Racing Santander,Portero,2,717.0,7.0,,0.0,0.0,,,,1,2.22
SD Huesca,Portero,1,410.0,4.0,,0.0,0.0,300000.0,,,1,3.67
FC Cartagena,Portero,1,100.0,1.0,,0.0,0.0,50000.0,,,1,20.12
Málaga CF,Portero,1,97.0,1.0,,0.0,0.0,,,,1,0.42
Villarreal CF B,Portero,1,97.0,1.0,,0.0,0.0,,,,1,1.03
Real Zaragoza,Portero,1,50.0,1.0,,0.0,0.0,,,,1,0.45
