jugador,club,posicion,nacionalidad,edad_llegada,temporada_llegada,temporada_salida,vm_llegada,vm_salida,revalorizacion_abs,revalorizacion_pct,importe_compra,importe_venta
Ricardo Grigore,CD Eldense,Centre-Back,Romania,25,2024-25,2024-25,200000.0,200000.0,0.0,0.0,,
Riccardo Capellini,CD Mirandés,Centre-Back,Italy,21,2021-22,2022-23,250000.0,200000.0,-50000.0,-20.0,,
Richard Boateng,FC Cartagena,Central Midfield,Ghana,28,2021-22,2022-23,400000.0,400000.0,0.0,0.0,,
Riki Rodríguez,Burgos CF,Central Midfield,Spain,23,2021-22,2021-22,300000.0,300000.0,0.0,0.0,,
Riza Durmisi,CD Leganés,Left-Back,Denmark,28,2022-23,2022-23,500000.0,500000.0,0.0,0.0,,
Riza Durmisi,CD Tenerife,Left-Back,Denmark,29,2022-23,2023-24,500000.0,300000.0,-200000.0,-40.0,,
Rober González,Racing Santander,Right Winger,Spain,24,2024-25,2025-26,2000000.0,1500000.0,-500000.0,-25.0,,
Rober González,UD Las Palmas,Right Winger,Spain,21,2021-22,2022-23,2000000.0,2000000.0,0.0,0.0,,
Rober Ibáñez,CD Leganés,Right Winger,Spain,28,2021-22,2022-23,500000.0,500000.0,0.0,0.0,,
Rober Ibáñez,Levante UD,Right Winger,Spain,29,2022-23,2024-25,500000.0,500000.0,0.0,0.0,,
Robert Navarro,Real Sociedad B,Right Winger,Spain,19,2021-22,2021-22,3000000.0,3000000.0,0.0,0.0,,
Roberto Corral,Real Valladolid CF,Left-Back,Spain,23,2021-22,2021-22,200000.0,200000.0,0.0,0.0,,
Roberto Fernández,Málaga CF,Centre-Forward,Spain,18,2021-22,2024-25,,600000.0,,,,2420000.0
Roberto López,CD Mirandés,Attacking Midfield,Spain,22,2022-23,2023-24,2000000.0,3000000.0,1000000.0,50.0,,
Roberto López,CD Tenerife,Attacking Midfield,Spain,23,2023-24,2024-25,3000000.0,2500000.0,-500000.0,-16.67,,
Roberto Olabe,SD Eibar,Central Midfield,Spain,25,2021-22,2021-22,700000.0,400000.0,-300000.0,-42.86,,
Rodri Alonso,Albacete Balompié,Central Midfield,Spain,20,2022-23,2023-24,100000.0,100000.0,0.0,0.0,,
Rodri Alonso,Villarreal CF B,Central Midfield,Spain,19,2022-23,2022-23,,100000.0,,,,
Rodri Tarín,Real Oviedo,Centre-Back,Spain,25,2021-22,2024-25,1500000.0,500000.0,-1000000.0,-66.67,,
Rodrigo Riquelme,CD Mirandés,Left Winger,Spain,21,2021-22,2022-23,1800000.0,2000000.0,200000.0,11.11,,
Roger Brugué,CD Mirandés,Left Winger,Spain,24,2021-22,2022-23,200000.0,800000.0,600000.0,300.0,,
Roko Baturina,Málaga CF,Centre-Forward,Croatia,24,2024-25,2025-26,700000.0,600000.0,-100000.0,-14.29,,
Roko Baturina,Racing Santander,Centre-Forward,Croatia,22,2022-23,2024-25,400000.0,700000.0,300000.0,75.0,,
Romario Ibarra,Real Oviedo,Left Winger,Ecuador,28,2023-24,2023-24,1800000.0,1800000.0,0.0,0.0,,
Rominigue Kouamé,Cádiz CF,Central Midfield,Mali,29,2025-26,2024-25,2000000.0,2000000.0,0.0,0.0,,
Ronald Gbizie,SD Huesca,Central Midfield,Cote d'Ivoire,24,2021-22,2021-22,100000.0,100000.0,0.0,0.0,,
Roque Mesa,Sporting Gijón,Central Midfield,Spain,34,2023-24,2024-25,2500000.0,1000000.0,-1500000.0,-60.0,,
Rubén Alves,CD Tenerife,Centre-Back,Spain,29,2024-25,2024-25,800000.0,800000.0,0.0,0.0,,
Rubén Alves,Córdoba CF,Centre-Back,Spain,30,2024-25,2025-26,800000.0,600000.0,-200000.0,-25.0,,
Rubén Alves,Racing Santander,Centre-Back,Spain,27,2022-23,2024-25,400000.0,800000.0,400000.0,100.0,,
Rubén Díez,CD Tenerife,Attacking Midfield,Spain,27,2021-22,2024-25,500000.0,300000.0,-200000.0,-40.0,200000.0,
Rubén Enri,FC Andorra,Centre-Forward,Spain,25,2023-24,2023-24,300000.0,300000.0,0.0,0.0,,
Rubén López,Deportivo de La Coruña,Left Winger,Spain,19,2024-25,2025-26,200000.0,500000.0,300000.0,150.0,,
Rubén Pardo,CD Leganés,Central Midfield,Spain,28,2021-22,2023-24,2400000.0,1600000.0,-800000.0,-33.33,,
Rubén Pulido,SD Huesca,Centre-Back,Spain,21,2022-23,2025-26,600000.0,600000.0,0.0,0.0,250000.0,
Rubén Quintanilla,Burgos CF,Central Midfield,Spain,22,2024-25,2025-26,50000.0,200000.0,150000.0,300.0,,
Rubén Quintanilla,UD Almería,Central Midfield,Spain,22,2024-25,2025-26,50000.0,200000.0,150000.0,300.0,,
Rubén Sánchez,CD Mirandés,Right-Back,Spain,22,2023-24,2023-24,700000.0,700000.0,0.0,0.0,,
Rubén Sánchez,Granada CF,Right-Back,Spain,23,2024-25,2025-26,700000.0,1000000.0,300000.0,42.86,,
Rubén Sánchez,RCD Espanyol Barcelona,Right-Back,Spain,22,2023-24,2023-24,700000.0,700000.0,0.0,0.0,,
Róber Pier,Sporting Gijón,Centre-Back,Spain,28,2023-24,2025-26,1200000.0,1000000.0,-200000.0,-16.67,,
Sabin Merino,Racing Ferrol,Centre-Forward,Spain,31,2023-24,2024-25,500000.0,400000.0,-100000.0,-20.0,,
Sabin Merino,Real Zaragoza,Centre-Forward,Spain,30,2021-22,2024-25,1200000.0,400000.0,-800000.0,-66.67,,
Saidy Janko,Real Valladolid CF,Right-Back,The Gambia,27,2023-24,2023-24,1000000.0,1000000.0,0.0,0.0,,500000.0
Samed Bazdar,Real Zaragoza,Centre-Forward,Bosnia-Herzegovina,20,2024-25,2025-26,4000000.0,1500000.0,-2500000.0,-62.5,3000000.0,100000.0
Samu Vázquez,Albacete Balompié,Right-Back,Spain,23,2024-25,2024-25,250000.0,250000.0,0.0,0.0,,
Samuel Mráz,CD Mirandés,Centre-Forward,Slovakia,25,2022-23,2022-23,600000.0,600000.0,0.0,0.0,,
Samuel Ntamack,SD Huesca,Centre-Forward,France,24,2025-26,2025-26,500000.0,500000.0,0.0,0.0,100000.0,
Samuel Obeng,AD Ceuta FC,Centre-Forward,Ghana,28,2025-26,2025-26,550000.0,500000.0,-50000.0,-9.09,,
Samuel Obeng,Real Oviedo,Centre-Forward,Ghana,26,2023-24,2024-25,1000000.0,1000000.0,0.0,0.0,,
Samuel Obeng,SD Huesca,Centre-Forward,Ghana,25,2022-23,2024-25,1000000.0,1000000.0,0.0,0.0,75000.0,
Samuel Shashoua,Albacete Balompié,Left Winger,England,24,2023-24,2024-25,1000000.0,700000.0,-300000.0,-30.0,,
Samú Costa,UD Almería,Defensive Midfield,Portugal,20,2021-22,2021-22,5000000.0,5000000.0,0.0,0.0,5250000.0,
Sandro Ramírez,SD Huesca,Centre-Forward,Spain,26,2022-23,2023-24,3500000.0,2000000.0,-1500000.0,-42.86,,1000000.0
Sang-hyuk Lee,FC Cartagena,Left Winger,"Korea, South",22,2022-23,2023-24,75000.0,100000.0,25000.0,33.33,,
Santiago Arzamendia,Cádiz CF,Left-Back,Paraguay,26,2024-25,2024-25,1200000.0,1200000.0,0.0,0.0,,1400000.0
Santiago Homenchenko,CD Mirandés,Defensive Midfield,Uruguay,20,2024-25,2024-25,500000.0,500000.0,0.0,0.0,,
Santiago Homenchenko,Real Oviedo,Defensive Midfield,Uruguay,20,2023-24,2024-25,500000.0,500000.0,0.0,0.0,,
Santiago Mouriño,Real Zaragoza,Right-Back,Uruguay,21,2023-24,2024-25,500000.0,1200000.0,700000.0,140.0,,
Saúl García,Racing Santander,Left-Back,Spain,27,2022-23,2025-26,600000.0,400000.0,-200000.0,-33.33,,
Saúl del Cerro,Burgos CF,Central Midfield,Spain,20,2024-25,2024-25,,,,,,
Sebastian Kosa,Real Zaragoza,Centre-Back,Slovakia,20,2024-25,2025-26,1200000.0,500000.0,-700000.0,-58.33,500000.0,
Sebastián Cristóforo,FC Cartagena,Central Midfield,Uruguay,28,2021-22,2022-23,900000.0,900000.0,0.0,0.0,,
Sekou Gassama,Málaga CF,Centre-Forward,Senegal,26,2021-22,2022-23,500000.0,500000.0,0.0,0.0,250000.0,
Sekou Gassama,Racing Santander,Centre-Forward,Senegal,27,2022-23,2023-24,500000.0,300000.0,-200000.0,-40.0,,
