temporada,categoria,jugador,equipo,posicion_wyscout,posicion_primaria,posicion_normalizada,edad,pais_nacimiento,pasaporte,pie,altura,peso,valor_mercado,vencimiento_contrato,partidos_jugados,minutos_jugados,goles,xg,cesion,_match_key
2022-23,def,Quini,Atromitos,"LB, RB",LB,Lateral,36.0,Spain,Spain,derecho,178,74,350000,2026-06-30,31,1947,0,0.77,False,quini|atromitos|2022-23
2021-22,med,Álex Mula,SD Ponferradina,"LW, RW, LAMF",LW,Extremo,29.0,Spain,Spain,derecho,178,70,250000,2026-06-30,33,1947,1,2.28,False,alex mula|sd ponferradina|2021-22
2022-23,med,Pablo Clavería,Anagennisi Karditsas,"DMF, RCMF, LCMF",DMF,Mediocentro,30.0,Spain,Spain,derecho,176,73,200000,2026-06-30,33,1945,0,0.41,False,pablo claveria|anagennisi karditsas|2022-23
2023-24,med,Rubén Bover,Atlético Baleares,RCMF,RCMF,Centrocampista,33.0,Spain,Spain,izquierdo,178,71,600000,2026-06-30,31,1945,1,2.19,False,ruben bover|atletico baleares|2023-24
2021-22,med,Pablo Clavería,Zamora,"RCMF, LCMF",RCMF,Centrocampista,29.0,Spain,Spain,derecho,176,73,200000,2026-06-30,27,1942,1,1.43,False,pablo claveria|zamora|2021-22
2025-26,def,Jesús Owono,FC Andorra,GK,GK,Portero,25.0,Equatorial Guinea,"Equatorial Guinea, Spain",derecho,183,67,1000000,2029-06-30,20,1941,0,0.0,True,jesus owono|fc andorra|2025-26
2024-25,att,Iván Barbero,Arouca,CF,CF,Delantero,27.0,Spain,Spain,derecho,186,80,500000,2027-06-30,37,1939,7,8.54,False,ivan barbero|arouca|2024-25
2021-22,med,Ekain Zenitagoia,Real Murcia,"AMF, CF",AMF,Mediapunta,31.0,Spain,Spain,derecho,179,74,500000,2026-06-30,32,1938,6,5.17,False,ekain zenitagoia|real murcia|2021-22
2025-26,med,K. Bare,Real Zaragoza,"LCMF, LDMF, RCMF",LCMF,Centrocampista,28.0,Albania,Albania,derecho,174,66,0,2027-06-30,25,1936,0,0.42,False,k bare|real zaragoza|2025-26
2022-23,def,N. Ratti,FC Andorra,GK,GK,Portero,32.0,Argentina,"Argentina, Italy",derecho,178,73,400000,2026-06-30,20,1936,0,0.0,False,n ratti|fc andorra|2022-23
