jugador,spieler_id
Jasper Cillessen,146227
Jastin Garcia,1061665
Jaume Costa,65318
Jaume Cuéllar,466808
Jaume Grau,340864
Jaume Jardí,568196
Javi Alonso,634598
Javi Avilés,456938
Javi Castellano,65489
Javi Castro,740253
Javi Díaz,396107
Javi Eraso,156814
Javi Fuego,56134
Javi Galán,448628
Javi Gómez,598162
Javi Hernández,946279
Javi Hernández,422466
Javi Jiménez,251860
Javi Jiménez,242287
Javi Lara,119622
Javi Llabrés,706138
Javi López,705401
Javi Martínez,471474
Javi Martón,711394
Javi Mier,353018
Javi Montero,396333
Javi Moreno,636360
Javi Muñoz,282421
Javi Ontiveros,298983
Javi Pérez,350208
Javi Ribelles,277740
Javi Robles,635332
Javi Ros,89330
Javi Rueda,652331
Javi Serrano,668177
Javi Sánchez,340853
Javi Villar,689639
Javi Vázquez,461866
Javier Belman,422459
Javier Espinosa,128219
Javier Murua,455344
Javier Vicario,634259
Jawad El Yamiq,235412
Jean Jules,607377
Jean-Sylvain Babin,45256
Jefté Betancor,198015
Jeisson Martínez,480953
Jeremy Arévalo,971663
Jeremía Recoba,1116801
Jero Lario,336733
Jerónimo Dómina,1103986
Jesé,134936
Jesús Areso,488626
Jesús Bernal,509483
Jesús Clemente,805479
Jesús Owono,631693
Jesús Ruiz,408288
Jesús Vallejo,251896
Jesús de Miguel,598611
Jesús Álvarez,541920
Jetro Willems,146258
Jhafets Reyes,1182569
Jhegson Méndez,330682
Jimmy Giraudon,213052
Jimmy Suárez,595781
Joan Femenías,455363
Joan Salvá,707575
Joaquín Fernández,221321
Joaquín González,845512
Joaquín Muñoz,396334
Joaquín Panichelli,1064871
Joaquín Zeballos,319429
Joel Jorquera,633114
Joel Roca,895326
Joel Valencia,175451
Joel del Pino,535304
Joey Dagostino,1053490
Jofre Carreras,628498
Johan Mojica,262939
John Guidetti,98596
John Victor,432914
Jokin Ezkieta,379548
Jon Ander Garrido,158704
Jon Ander Serantes,71835
Jon Bautista,289236
Jon Eceizabarrena,1063593
Jon García,156817
Jon Garro,1178819
Jon Gorrotxategi,711374
Jon Guridi,289257
Jon Guruzeta,625064
Jon Karrikaburu,711382
Jon Magunazelaia,625655
Jon Merino,1062967
Jon Morcillo,455349
Jonathan Dubasin,628621
Jonathan Gómez,674501
Jonathan Silva,189453
Jonathan Varane,812902
Jonathan Vieira,579346
Jonathan Viera,153238
Joni Montiel,343273
Jonmi Magunagoitia,606848
Jonny Arriba,585536
Jony,228761
Jony Álamo,786438
Jonás Ramalho,69660
Jordan Lukaku,140804
Jordi Calavera,286849
Jordi Escobar,568155
Jordi Martín,537763
Jordi Mboula,331498
Jordi Sánchez,291693
Jordy Caicedo,360412
Jordán Carrillo,740574
Jorge Aguirre,629385
Jorge Cabello,1063333
Jorge Cuenca,494880
Jorge Delgado,875124
Jorge Martínez,611063
Jorge Meré,286779
Jorge Mier,599327
Jorge Miramón,228917
Jorge Moreno,717957
Jorge Padilla,726030
Jorge Pascual,669511
Jorge Pombo,336747
Jorge Salinas,1262996
Jorge Sáenz,340339
Jorge Yriarte,486834
Jorge de Frutos,455181
Joseba Orbegozo,596247
Joseba Zaldua,197135
Joseda Menargues,589459
Josele Martínez,284880
Joselu,72061
Joselu,81999
Joselu Moreno,143044
Josema,255892
Josep Calavera,408472
Josep Gayá,632495
Josep Señé,161267
